GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_560: Median total income in 2020 among recipients ($)
4620053.00,CT,0053.00,0.1079,1385,1093,912,38800
4620054.00,CT,0054.00,0.1504,1444,935,799,45200
4620055.01,CT,0055.01,0.7361,5726,4252,3371,60000
4620055.02,CT,0055.02,1.2456,559,325,301,72000
4620056.00,CT,0056.00,0.2882,1963,1402,1163,33600
4620057.00,CT,0057.00,0.1457,1963,1285,1017,32400
4620058.00,CT,0058.00,0.1513,1251,787,686,34000
4620059.00,CT,0059.00,0.2028,1428,1024,848,42000
4620060.00,CT,0060.00,0.0914,1082,753,527,20800
4620061.00,CT,0061.00,0.217,1325,872,675,49600
4620062.00,CT,0062.00,0.8287,4679,3943,2965,40000
4620063.00,CT,0063.00,0.3635,5477,5006,3510,26800
4620064.00,CT,0064.00,0.2402,1949,1612,1130,27800
4620065.01,CT,0065.01,0.1369,6388,4929,4044,24800
4620065.02,CT,0065.02,0.1453,3629,2602,2143,27600
4620066.01,CT,0066.01,0.2287,3684,2506,2053,25600
4620066.02,CT,0066.02,0.1805,3178,2356,1943,29400
4620067.00,CT,0067.00,0.1466,1839,864,812,32000
4620068.00,CT,0068.00,0.1609,1901,703,609,22800
4620069.01,CT,0069.01,0.4352,4563,3347,2560,49200
4620069.02,CT,0069.02,0.2596,4206,2923,2542,62000
4620070.01,CT,0070.01,0.2615,3767,2876,2482,62400
4620070.02,CT,0070.02,0.3576,5908,3994,3529,62400
4620071.00,CT,0071.00,0.4407,0,1,1,
4620072.00,CT,0072.00,2.5946,3634,1973,1824,38800
4620073.00,CT,0073.00,0.3262,1936,1199,1106,42000
4620074.00,CT,0074.00,0.4015,3631,1835,1733,39600
4620075.00,CT,0075.00,0.3075,2675,1491,1363,37600
4620076.00,CT,0076.00,0.3661,3305,1929,1765,42400
4620077.00,CT,0077.00,0.4203,4025,2213,1993,42800
4620078.00,CT,0078.00,0.3717,3955,2276,2108,44800
4620079.00,CT,0079.00,0.5951,4579,2817,2560,42800
4620080.00,CT,0080.00,0.0901,782,434,393,41200
4620081.00,CT,0081.00,0.263,3553,2353,2178,45600
4620082.00,CT,0082.00,0.2977,2186,1233,1127,34400
4620083.00,CT,0083.00,0.4155,3406,2039,1833,41200
4620084.00,CT,0084.00,0.3456,2793,1492,1397,36400
4620085.00,CT,0085.00,1.1838,747,387,336,36000
4620086.00,CT,0086.00,0.5271,3934,2144,2019,38800
4620087.00,CT,0087.00,0.2627,3221,1688,1575,36400
4620088.00,CT,0088.00,0.3377,3585,2000,1862,36800
4620089.00,CT,0089.00,0.5259,4916,2584,2409,37200
4620090.00,CT,0090.00,0.4356,4589,2271,2158,33600
4620091.00,CT,0091.00,0.9907,0,0,0,
4620092.00,CT,0092.00,0.5585,5984,2971,2854,35200
4620093.00,CT,0093.00,0.7341,3253,1679,1545,37200
4620094.01,CT,0094.01,1.8073,6306,3415,3186,32000
4620094.02,CT,0094.02,1.896,10,6,6,
4620095.00,CT,0095.00,0.2194,2147,1319,1150,35600
4620096.00,CT,0096.00,0.1901,2370,1238,1110,38400
